file_name,event,vtx_r,vtx_t,matched_true_signal
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000657.CAF.root,233,3,3,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000185.CAF.root,206,4,4,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000027.CAF.root,235,1,1,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000240.CAF.root,223,0,0,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000808.CAF.root,86,3,4,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000371.CAF.root,1,3,2,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000371.CAF.root,81,8,7,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000371.CAF.root,141,3,5,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000795.CAF.root,89,4,3,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000393.CAF.root,40,5,5,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000321.CAF.root,126,0,0,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000965.CAF.root,0,3,3,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000965.CAF.root,152,1,1,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000316.CAF.root,154,4,2,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000199.CAF.root,85,4,4,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000199.CAF.root,130,5,4,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000199.CAF.root,186,1,0,1
